from	to
Yersinia	Gulosibacter
Yersinia	Levilinea
Yersinia	Rhodoblastus
Yersinia	Flexivirga
Yersinia	Promicromonospora
Yersinia	Jeotgalicoccus
Yersinia	Knoellia
Yersinia	Leptolyngbya
Yersinia	Chitinimonas
Yersinia	Litorilinea
Yersinia	Acidobacterium
Yersinia	Ralstonia
Yersinia	Pelobacter
Yersinia	Pleurocapsa
Yersinia	Actinomycetospora
Yersinia	Syntrophomonas
Yersinia	Tistlia
Yersinia	Arsenicicoccus
Yersinia	Candidimonas
Yersinia	Desulfatitalea
Yersinia	Thiocapsa
Yersinia	Acidiphilium
Yersinia	Methylococcus
Yersinia	Xanthobacter
Yersinia	Coprobacter
Yersinia	Pelosinus
Yersinia	Pseudoramibacter
Yersinia	Oleiphilus
Yersinia	Castellaniella
Yersinia	Acidothermus
Yersinia	Nocardia
Yersinia	Porphyromonas
Yersinia	Herbaspirillum
Yersinia	Magnetospirillum
Yersinia	Flavonifractor
Yersinia	Tepidicella
Yersinia	Spirosoma
Yersinia	Nitrobacter
Yersinia	Olivibacter
Yersinia	Desulfosarcina
Yersinia	Anoxybacillus
Yersinia	Roseateles
Yersinia	Aquamicrobium
Yersinia	Quadrisphaera
Yersinia	Starkeya
Yersinia	Microbispora
Yersinia	Desulfobacula
Yersinia	Phyllobacterium
Yersinia	Desulfotomaculum
Yersinia	Thermovirga
Yersinia	Desulfarculus
Yersinia	Microcystis
Yersinia	Erythrobacter
Yersinia	Thiohalocapsa
Yersinia	Actinobacillus
Yersinia	Ketogulonicigenium
Yersinia	Roseovarius
Yersinia	Cellulosilyticum
Yersinia	Gallionella
Yersinia	Meiothermus
Yersinia	Sporosarcina
Yersinia	Gluconobacter
Yersinia	Elizabethkingia
Yersinia	Mycoplana
Yersinia	Oscillatoria
Yersinia	Desulfobacterium
Yersinia	Synechococcus
Yersinia	Microcoleus
Yersinia	Oscillochloris
Yersinia	Rivibacter
Yersinia	Vibrio
Yersinia	Candidatus Omnitrophus
Yersinia	Hungatella
Yersinia	Alkalibacter
Yersinia	Dichotomicrobium
Yersinia	Actinotalea
Yersinia	Pusillimonas
Yersinia	Phormidium
Yersinia	Ruegeria
Yersinia	Alcanivorax
Yersinia	Colwellia
Yersinia	Tepidimicrobium
Yersinia	Arenibacter
Yersinia	Coraliomargarita
Yersinia	Leifsonia
Yersinia	Butyricimonas
Yersinia	Sulfitobacter
Yersinia	Myxococcus
Yersinia	Aequorivita
Yersinia	Arsenophonus
Yersinia	Thalassolituus
Yersinia	Tistrella
Yersinia	Peptoniphilus
Yersinia	Caenispirillum
Yersinia	Methylomicrobium
Yersinia	Mucinivorans
Yersinia	Desulfobotulus
Yersinia	Corallococcus
Yersinia	Roseivivax
Yersinia	Lutibacter
Yersinia	Parvibaculum
Yersinia	Paenalcaligenes
Yersinia	Mangrovibacterium
Yersinia	Rufibacter
Yersinia	Spirulina
Yersinia	Micromonospora
Yersinia	Planosporangium
Yersinia	Rathayibacter
Yersinia	Truepera
Yersinia	Magnetovibrio
Yersinia	Desulfosporosinus
Yersinia	Methyloglobulus
Yersinia	Aureimonas
Yersinia	Gluconacetobacter
Yersinia	Pseudoxanthobacter
Yersinia	Merismopedia
Yersinia	Methylosinus
Yersinia	Tissierella
