from		to				AI-2
Xanthomonas	;	Candidatus Latescibacter	Xanthomonas;Candidatus Latescibacter			Xanthomonas;Candidatus Latescibacter
Xanthomonas	;	Blastopirellula	Xanthomonas;Blastopirellula			Xanthomonas;Blastopirellula
Xanthomonas	;	Aggregatibacter	Xanthomonas;Aggregatibacter			Xanthomonas;Aggregatibacter
Vibrio	;	Halomonas	Vibrio;Halomonas			Vibrio;Halomonas
Vibrio	;	Acinetobacter	Vibrio;Acinetobacter			Vibrio;Acinetobacter
Vibrio	;	Aeromonas	Vibrio;Aeromonas			Vibrio;Aeromonas
Vibrio	;	Desulfovibrio	Vibrio;Desulfovibrio			Vibrio;Desulfovibrio
Vibrio	;	Nitrospira	Vibrio;Nitrospira			Vibrio;Nitrospira
Vibrio	;	Pseudomonas	Vibrio;Pseudomonas			Vibrio;Pseudomonas
Vibrio	;	Rhodobacter	Vibrio;Rhodobacter			Vibrio;Rhodobacter
Vibrio	;	Opitutus	Vibrio;Opitutus			Vibrio;Opitutus
Vibrio	;	Raoultella	Vibrio;Raoultella			Vibrio;Raoultella
Vibrio	;	Klebsiella	Vibrio;Klebsiella			Vibrio;Klebsiella
Vibrio	;	Enterococcus	Vibrio;Enterococcus			Vibrio;Enterococcus
Vibrio	;	Enterobacter	Vibrio;Enterobacter			Vibrio;Enterobacter
Vibrio	;	Streptococcus	Vibrio;Streptococcus			Vibrio;Streptococcus
Vibrio	;	Roseomonas	Vibrio;Roseomonas			Vibrio;Roseomonas
Vibrio	;	Rhizobium	Vibrio;Rhizobium			Vibrio;Rhizobium
Vibrio	;	Rhizobacter	Vibrio;Rhizobacter			Vibrio;Rhizobacter
Vibrio	;	Mycobacterium	Vibrio;Mycobacterium			Vibrio;Mycobacterium
Vibrio	;	Blautia	Vibrio;Blautia			Vibrio;Blautia
Vibrio	;	Bacillus	Vibrio;Bacillus			Vibrio;Bacillus
Vibrio	;	Gemmobacter	Vibrio;Gemmobacter			Vibrio;Gemmobacter
Vibrio	;	Anaerolinea	Vibrio;Anaerolinea			Vibrio;Anaerolinea
Vibrio	;	Nitratireductor	Vibrio;Nitratireductor			Vibrio;Nitratireductor
Vibrio	;	Staphylococcus	Vibrio;Staphylococcus			Vibrio;Staphylococcus
Vibrio	;	Actinomyces	Vibrio;Actinomyces			Vibrio;Actinomyces
Vibrio	;	Burkholderia	Vibrio;Burkholderia			Vibrio;Burkholderia
Vibrio	;	Nakamurella	Vibrio;Nakamurella			Vibrio;Nakamurella
Vibrio	;	Lachnospira	Vibrio;Lachnospira			Vibrio;Lachnospira
Vibrio	;	Shinella	Vibrio;Shinella			Vibrio;Shinella
Vibrio	;	Arthrobacter	Vibrio;Arthrobacter			Vibrio;Arthrobacter
Vibrio	;	Paenibacillus	Vibrio;Paenibacillus			Vibrio;Paenibacillus
